Name,Cost,Requirements,Description
Ambidestria,2,,"O Personagem pode manusear armas e instrumentos tanto com a mão direita, quanto com a esquerda, com igual eficiência. Também pode usar duas armas brancas ao mesmo tempo, se forem pequenas o bastante para o uso com uma única mão.
Estão fora dessa categoria arcos, bestas, lanças, a maioria dos machados e martelos e as grandes espadas. A ambidestria afeta apenas Perícias baseadas em Destreza, não em Agilidade: boxe, artes marciais e outras não recebem beneficias pela ambidestria."
Arma de Família,1,,"As armas são parte da família. Personagens com esse Aprimoramento terão uma arma de família de qualidade superior (tipo de arma à sua escolha). Uma arma de qualidade superior oferece sempre +5% em todos os Testes de Ataque ou de Defesa, e +1 no dano final, mas não são consideradas mágicas. O Personagem jamais pode perder essa arma ou será como se tivesse perdido um ente querido."
Ataque Bruto,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por nível do seu valor de defesa e acrescentar esse valor como bónus de ataque. 
As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Ataque em Movimento,2,,"Quando usando a ação de ataque com uma arma corpo-a-corpo, você pode se mover tanto antes, quanto depois do ataque, desde que a distância total percorrida não seja maior que a metade de seu AGI em metros. Você não pode usar este aprimoramento enquanto vestir uma armadura pesada. Você precisa se mover pelo menos 1,5m tanto antes quando depois para se beneficiar dos beneficias do Ataque em Movimento."
Ataque Poderoso,1,,"O personagem é capaz de realizar ataques excepcionalmente poderosos e brutais, deixando de lado boa parte de sua técnica. Para cada 10% de penalidade que ele dá a si mesmo, ele aumenta o dano resultante de seu ataque em + 1."
Concentração,2,,"O Personagem é capaz de concentrar-se em seus afazeres com extrema facilidade. Faça um Teste de WILL e, se for bem sucedido, tornará a dificuldade do ato que esteja realizando mais fácil (um Teste Difícil torna-se um Teste Normal). Essa habilidade funciona em meio a um combate, desde que você não esteja fazendo ou recebendo qualquer ataque."
Especialização em Combate,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por Nível do seu valor de ataque e acrescentar esse valor como bónus de esquiva. As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Boa fama (1),1,,"Reconhecido de um bairro
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (2),2,,"Reconhecido de um alguns bairros, uma cidade pequena.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (3),3,,"Reconhecido em algumas cidades pequenas, uma metrópole.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Boa fama (4),4,,"Reconhecido em algumas metrópoles, um estado ou região.
Você é famoso por seus feitos entre as pessoas mortais, sendo uma figura de destaque na midia, política, submundo ou algum outro tipo de ambiente mundano, onde todos reconhecem seu nome e ele é freqüentemente um dos assuntos referidos do público. Este tipo de reputação reflete um melhor tratamento por parte dos NPCs, uma série de convites para reuniões e festas, assédio de tas, ou dezenas de pessoas que querem aprender com você. Existe um motivo para que esse aprimoramento tenha quatro níveis e que o seu irmão, o ""Má Fama"" tenha apenas três: as más noócias correm mais rápido."
Caçador de Criatura (1),1,,"Quando o Jogador escolhe este Aprimoramento, seu Personagem possui a ""missão"" de caçar e exterminar algum tipo de criatura especifica (vampiros, dragões, akumas, asuras, etc) por um motivo qualquer (vingança, ódio, dinheiro, juramento). 
O personagem passar a vida toda atrás desse objetivo e sempre se aliará a outros caçadores. O Jogador pode escolher também uma raça inteira (humanos, vedaans, nekos, etc) como a criatura caçada, mas nesse caso será necessário uma boa explicação.
O personagem possui Conhecimento sobre o tipo de criatura que caça com 30%, além de saber como encontrá-los, ou mesmo como destrui-los. Também recebe +5% em todos os Testes de Perícia e combate contra essa criatura, acrescidos de um bónus de + 1 no dano."
Caçador de Criatura (2),2,,"Quando o Jogador escolhe este Aprimoramento, seu Personagem possui a ""missão"" de caçar e exterminar algum tipo de criatura especifica (vampiros, dragões, akumas, asuras, etc) por um motivo qualquer (vingança, ódio, dinheiro, juramento). 
O Personagem passar a vida toda atrás desse objetivo e sempre se aliará a outros caçadores. O Jogador pode escolher também uma raça inteira (humanos, vedaans, nekos, etc) como a criatura caçada, mas nesse caso será necessário uma boa explicação.
O Personagem possui conhecimento de determinado tipo de criatura com 45% e conhece outros caçadores como ele. Pode vir a pertencer a um grupo organizado com esse fim. Também recebe +10% em todos os Testes de Perícia e combate contra essa criatura, acrescidos de um bónus de +2 no dano."
Especialização em Combate,1,,"Quando você realiza as ações de ataque ou ataque total num combate corpo-a-corpo, pode escolher subtrair até 10% por Nível do seu valor de ataque e acrescentar esse valor como bónus de esquiva. 
As alterações nas jogadas de ataque e na defesa duram até a sua próxima ação."
Foco em arma,1,,"Escolha um tipo de arma.
Você ganha um bónus de + 10% em todas as jogadas de ataque realizadas com a arma escolhida.
Você pode escolher esse Aprimoramento diversas vezes porém seus efeitos não acumulam. 
Cada vez que você escolher esse talento, ele se aplica a uma nova arma. 
Sempre que você passa de nível recebe novo bónus de + 10% nessa perícia."
