Name,Description,Attribute,Cost
#### ANIMAIS ####,,,
Treinamento de animais,Treine animais para tarefas especificas.,,
Montaria,Monte e rede animais.,Agility,
Doma,"Acalme e crie vinculo em animais, a doma não acontece com apenas um teste e sim em sucessões.",,
Veterinária,Habilidade de cuidar da saúde de animais.,,
##############################,,,
Armadilhas,"Domine as técnicas de construção de armadilhas, entenda o seu funcionamento e saiba encontrar as pisras que possam levá-lo a elas. ",Perception,
#### ARTES ####,,,
Arquiterura,"Desenhe e especifique, ou entenda sobre construções",,
Atuação (teatro de sombras e kabuki),Atue e faça parte de atuações teatrais,Carisma,
Caligrafia,Arte milenar de escrever utilizando os caracteres,Dexterity,
Canto,Utilize as cordas vocais para encantar ao seu redor,Carisma,
Cerimônia do Chá,a Cerimônia do Chá é um procedimento politico utilizado em inumeras situações,Inteligence,
Culinária,Utilize ingredientes para criar obras gastronomicas,Perception,
Dança,Faça com que seu corpo esponha movimentos considerados como arte,Agility,
Desenho e Pintura,"Crie quadros e rabiscos que represente seus objetivos, seja arte ou intruções",Dexterity,
Escapismo,,Agility,
Escultura,,Dexterity,
Ilusionismo,Crie ilusões utilizando seu corpo e objetos a sua volta,Dexterity,
Música,,Dexterity,
Tradições Orais,"A antiga arte de passagem de conhecimento de forma oral, conheça e aplique-as",Carisma,
Ópera,,Inteligence,
Origami,,Dexterity,
Tangram,,Dexterity,
Bonsai,,Inteligence,
###########################,,,
Artifice,"Você tem os conhecimentos necessários para a criação de objetos, desenvolvimento de projetas mecânicos, de cantaria e alvenaria, além da construção de novos inventos. Alguns subgrupos possíveis: Arte Mecânica, oficial, operário, obreiro, inventor.",Dexterity,
Astrologia,"Ciência milenar, desenvolvida em Lieh. O personagem pode traçar o perfil de uma pessoa e descobrir o futuro próximo dela através do estudo de mapas astrais, posições das constelações e planetas e datas relativas ao nascimento. É uma ane quase que exclusiva dos astrólogos.",,
Camuflagem,"Com um pouco do material correto para determinado local, você se mantém invisibilizadn, mantos negros em noites sem luas, folhagens em ambientes silvestres são apenas alguns de mwtos exemplos que poderiam ser citados.",Perception,
Cartografia,"Você sabe analisar e ler um mapa, também domina as técnicas para a sua compqsição, consegue se localizar com a simples leitura de poucos dados grafados.",Inteligence,
###Ciencias###,,,
Agricultura,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Aoatornia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Arqueologia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Astronomia,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Botânica,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
Direito ou Jurisprudência,"Você tem conhecimentos diferenciados em relação aos outros, normalmente tem uma posição de destaque em sua comunidade.",Inteligence,
