Arremesso de objetos; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Tanto; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Zarabatana; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Espada Borbolera; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Kris; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Walcizachi; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Espada Tai Chi; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Karana; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Tulwar; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Khanda; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Kwandao; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Tetsubo de Guerra; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Dai-Kyu; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Kusari-Garna; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Leque com Lâminas; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Roda do Fogo e do Vento; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Espada dos Nove Anéis; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Espada ; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Gancho; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Cajado de Três Partes; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Marati; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Arco Vedaan; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
Chakrarn; Dexterity; Diz o quanto o personagem é hábil com determinada arma.
